event,event_date,event_label,event_type,x_query,x_language,wsj_file,official_file,analysis_note
t02_salesvolume_decrease_salesvolume_missing_date,,att s directv now went flat after january report says | SalesVolume.Decrease_SalesVolume,SalesVolume,"(""att directv now"") (demand OR down OR drop OR fall)",en,,,Derived from SENTiVENT doc t02 (sentences=18).
t14_employment_compensation_missing_date,,att s tax cut bonus is nt just a gimmick | Employment.Compensation,Employment,"(""att tax cut"") (hiring OR layoffs OR workforce)",en,,,Derived from SENTiVENT doc t14 (sentences=25).
bac04_expense_decrease_expense_missing_date,,bank of america earnings hurt by tax related charge | Expense.Decrease_Expense,Profit/Loss,"($BAC OR BAC OR ""bank america earnings"") (down OR drop OR fall OR loss)",en,,,Derived from SENTiVENT doc bac04 (sentences=42).
bac06_employment_start_missing_date,,bank of america hires law firm to help probe 292 million loss | Employment.Start,Profit/Loss,"($BAC OR BAC OR ""bank america hires"") (loss OR margin OR profit)",en,,,Derived from SENTiVENT doc bac06 (sentences=32).
bac03_product_service_launch_missing_date,,bank of america s latest mobile feature a tool to buy a car | Product/Service.Launch,Product/Service,"($BAC OR BAC OR ""bank america latest"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc bac03 (sentences=23).
bac02_financialreport_beat_missing_date,,bank of america still lags us banking peers in terms of core c | FinancialReport.Beat,FinancialReport,"($BAC OR BAC OR ""bank america still"") (above OR beat OR earnings OR guidance)",en,,,Derived from SENTiVENT doc bac02 (sentences=9).
bac00_product_service_launch_missing_date,,bank of america wants to make it easier for you to get a mortgag | Product/Service.Launch,Macroeconomics,"($BAC OR BAC OR ""bank america wants"") (announce OR economy OR launch OR market)",en,,,Derived from SENTiVENT doc bac00 (sentences=28).
fox00_securityvalue_increase_securityvalue_missing_date,,berkshire cuts 21st century fox stake adjusts airline bets | SecurityValue.Increase_SecurityValue,SecurityValue,"($FOX OR FOX OR ""berkshire cuts century"") (price OR rise OR shares OR stock)",en,,,Derived from SENTiVENT doc fox00 (sentences=38).
ba09_securityvalue_increase_securityvalue_missing_date,,boeing 787 production increase is good news for aerospace but | SecurityValue.Increase_SecurityValue,Product/Service,"($BA OR BA OR ""boeing production increase"") (launch OR product OR rise OR surge)",en,,,Derived from SENTiVENT doc ba09 (sentences=7).
ba13_securityvalue_increase_securityvalue_missing_date,,boeing applauds tax bill with 300 million workforce related an | SecurityValue.Increase_SecurityValue,CSR/Brand,"($BA OR BA OR ""boeing applauds tax"") (brand OR reputation OR rise OR surge)",en,,,Derived from SENTiVENT doc ba13 (sentences=6).
ba05_expense_decrease_expense_missing_date,,boeing defense to cut 50 executive jobs in management shakeup | Expense.Decrease_Expense,Employment,"($BA OR BA OR ""boeing defense cut"") (down OR drop OR fall OR hiring)",en,,,Derived from SENTiVENT doc ba05 (sentences=27).
ba00_product_service_launch_missing_date,,boeing delivers its first 737 max just as planned | Product/Service.Launch,Product/Service,"($BA OR BA OR ""boeing delivers first"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc ba00 (sentences=31).
ba02_securityvalue_increase_securityvalue_missing_date,,boeing roundup boeing lands deals with saudi arabia | SecurityValue.Increase_SecurityValue,Deal,"($BA OR BA OR ""boeing roundup boeing"") (contract OR deal OR rise OR surge)",en,,,Derived from SENTiVENT doc ba02 (sentences=15).
ba14_securityvalue_increase_securityvalue_missing_date,,boeing s low altitude bid | SecurityValue.Increase_SecurityValue,Merger/Acquisition,"($BA OR BA OR ""boeing low altitude"") (acquisition OR buyout OR merger OR rise)",en,,,Derived from SENTiVENT doc ba14 (sentences=30).
ba16_securityvalue_decrease_securityvalue_missing_date,,boeing s stock contributes about 10 of the dow s 1030 point | SecurityValue.Decrease_SecurityValue,SecurityValue,"($BA OR BA OR ""boeing stock contributes"") (down OR drop OR fall OR price)",en,,,Derived from SENTiVENT doc ba16 (sentences=7).
ba08_securityvalue_increase_securityvalue_missing_date,,boeing s stock may have flown too high | SecurityValue.Increase_SecurityValue,SecurityValue,"($BA OR BA OR ""boeing stock may"") (price OR rise OR shares OR stock)",en,,,Derived from SENTiVENT doc ba08 (sentences=19).
ba01_employment_start_missing_date,,boeing s t x could be good news for struggling st louis econom | Employment.Start,Employment,"($BA OR BA OR ""boeing could good"") (hiring OR layoffs OR workforce)",en,,,Derived from SENTiVENT doc ba01 (sentences=17).
ba03_product_service_launch_missing_date,,boeing wins contract to build darpa xs 1 experimental space plan | Product/Service.Launch,Product/Service,"($BA OR BA OR ""boeing wins contract"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc ba03 (sentences=28).
bac05_product_service_launch_missing_date,,bofa includes bitcoin trust in broader ban on investments | Product/Service.Launch,Product/Service,"($BAC OR BAC OR ""bofa includes bitcoin"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc bac05 (sentences=10).
celg02_product_service_launch_missing_date,,celgene s stock may be incredibly overvalued right now here | Product/Service.Launch,Product/Service,"($CELG OR CELG OR ""celgene stock may"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc celg02 (sentences=35).
chk03_securityvalue_increase_securityvalue_missing_date,,chesapeake energy was the sp 500 s top gainer on june 13 | SecurityValue.Increase_SecurityValue,Macroeconomics,"($CHK OR CHK OR ""chesapeake energy top"") (economy OR market OR rise OR surge)",en,,,Derived from SENTiVENT doc chk03 (sentences=11).
cvx00_csr_brand_missing_date,,chevron investors back off from climate change proposal | CSR/Brand,CSR/Brand,"($CVX OR CVX OR ""chevron investors back"") (brand OR reputation)",en,,,Derived from SENTiVENT doc cvx00 (sentences=18).
cvx05_financialreport_beat_missing_date,,chevron s 10 k puts the permian on a pedestal | FinancialReport.Beat,FinancialReport,"($CVX OR CVX OR ""chevron puts permian"") (above OR beat OR earnings OR guidance)",en,,,Derived from SENTiVENT doc cvx05 (sentences=30).
cvx06_financialreport_beat_missing_date,,chevron s debt fell in 4q17 what to expect in 2018 | FinancialReport.Beat,FinancialReport,"($CVX OR CVX OR ""chevron debt fell"") (above OR beat OR earnings OR guidance)",en,,,Derived from SENTiVENT doc cvx06 (sentences=29).
cvx02_facility_open_missing_date,,chevron s management looks like it s changing its capital spen | Facility.Open,FinancialReport,"($CVX OR CVX OR ""chevron management looks"") (earnings OR guidance OR results)",en,,,Derived from SENTiVENT doc cvx02 (sentences=63).
cvx03_legal_proceeding_missing_date,,chevron shielded from 9 billion verdict | Legal.Proceeding,Legal,"($CVX OR CVX OR ""chevron shielded billion"") (court OR lawsuit OR settlement)",en,,,Derived from SENTiVENT doc cvx03 (sentences=17).
cmg00_employment_end_missing_date,,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,"($CMG OR CMG OR ""chipotle cfo says"") (brand OR reputation)",en,,,Derived from SENTiVENT doc cmg00 (sentences=23).
cmg04_salesvolume_increase_salesvolume_missing_date,,chipotle is betting on digital | SalesVolume.Increase_SalesVolume,SalesVolume,"($CMG OR CMG OR ""chipotle betting digital"") (demand OR rise OR sales OR surge)",en,,,Derived from SENTiVENT doc cmg04 (sentences=32).
cmg01_employment_start_missing_date,,chipotle names scott boatwright chief restaurant officer | Employment.Start,Employment,"($CMG OR CMG OR ""chipotle names scott"") (hiring OR layoffs OR workforce)",en,,,Derived from SENTiVENT doc cmg01 (sentences=15).
cmg03_salesvolume_decrease_salesvolume_missing_date,,chipotle removes malware after breach strikes payment systems | SalesVolume.Decrease_SalesVolume,CSR/Brand,"($CMG OR CMG OR ""chipotle removes malware"") (brand OR down OR drop OR fall)",en,,,Derived from SENTiVENT doc cmg03 (sentences=14).
pg00_legal_appeal_missing_date,,companies spurned by supreme court on 1 billion michigan tax c | Legal.Appeal,Legal,"($PG OR PG OR ""companies spurned supreme"") (court OR lawsuit OR settlement)",en,,,Derived from SENTiVENT doc pg00 (sentences=14).
cost01_merger_acquisition_missing_date,,costco adds fresh breads from bakery spurned by starbucks | Merger/Acquisition,Merger/Acquisition,"($COST OR COST OR ""costco adds fresh"") (acquisition OR buyout OR merger)",en,,,Derived from SENTiVENT doc cost01 (sentences=25).
cost03_facility_open_missing_date,,costco exceeds expectations in sales and earnings will open 1 | Facility.Open,Facility,"($COST OR COST OR ""costco exceeds expectations"") (expansion OR facility OR plant)",en,,,Derived from SENTiVENT doc cost03 (sentences=30).
cost00_salesvolume_increase_salesvolume_missing_date,,costco makes gains despite retailer gloom with upbeat earnings | SalesVolume.Increase_SalesVolume,SalesVolume,"($COST OR COST OR ""costco makes gains"") (demand OR rise OR sales OR surge)",en,,,Derived from SENTiVENT doc cost00 (sentences=27).
cost02_revenue_increase_revenue_missing_date,,costco not all beats are created equal | Revenue.Increase_Revenue,Revenue,"($COST OR COST OR ""costco not all"") (revenue OR rise OR sales OR surge)",en,,,Derived from SENTiVENT doc cost02 (sentences=21).
aal02_product_service_cancellation_recall_missing_date,,delta air lines finds competition intense in may on time arrival | Product/Service.Cancellation/Recall,Macroeconomics,"($AAL OR AAL OR ""delta air lines"") (economy OR market)",en,,,Derived from SENTiVENT doc aal02 (sentences=19).
f07_product_service_launch_missing_date,,dhl and ford unveil a jointly made electric delivery van | Product/Service.Launch,Product/Service,"(""dhl ford unveil"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc f07 (sentences=7).
aapl05_product_service_launch_missing_date,,did apple just make best buy a better buy | Product/Service.Launch,Product/Service,"($AAPL OR AAPL OR ""did apple just"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc aapl05 (sentences=45).
aapl11_product_service_launch_missing_date,,disappointing new iphones reveal a scared and greedy apple | Product/Service.Launch,Product/Service,"($AAPL OR AAPL OR ""disappointing iphones reveal"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc aapl11 (sentences=48).
dis11_product_service_launch_missing_date,,disney earnings buying fox would nt a bad idea | Product/Service.Launch,Profit/Loss,"($DIS OR DIS OR ""disney earnings buying"") (announce OR launch OR loss OR margin)",en,,,Derived from SENTiVENT doc dis11 (sentences=27).
dis02_salesvolume_decrease_salesvolume_missing_date,,disney earnings give a look at how espn is facing the future | SalesVolume.Decrease_SalesVolume,Profit/Loss,"($DIS OR DIS OR ""disney earnings give"") (down OR drop OR fall OR loss)",en,,,Derived from SENTiVENT doc dis02 (sentences=52).
dis09_employment_start_missing_date,,disney elects gm ceo barra to board amid iger succession hunt | Employment.Start,Employment,"($DIS OR DIS OR ""disney elects ceo"") (hiring OR layoffs OR workforce)",en,,,Derived from SENTiVENT doc dis09 (sentences=18).
dis07_product_service_launch_missing_date,,disney joins ar fray with 200 star wars ar headset | Product/Service.Launch,Product/Service,"($DIS OR DIS OR ""disney joins fray"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc dis07 (sentences=58).
dis12_revenue_decrease_revenue_missing_date,,disney s fiscal 2017 in review | Revenue.Decrease_Revenue,Revenue,"($DIS OR DIS OR ""disney fiscal review"") (down OR drop OR fall OR revenue)",en,,,Derived from SENTiVENT doc dis12 (sentences=34).
dis04_salesvolume_decrease_salesvolume_missing_date,,disney s global theme parks saw attendance decline in 2016 bu | SalesVolume.Decrease_SalesVolume,SalesVolume,"($DIS OR DIS OR ""disney global theme"") (demand OR down OR drop OR fall)",en,,,Derived from SENTiVENT doc dis04 (sentences=9).
dis08_revenue_decrease_revenue_missing_date,,disney stock defies ho hum earnings | Revenue.Decrease_Revenue,Revenue,"($DIS OR DIS OR ""disney stock defies"") (down OR drop OR fall OR revenue)",en,,,Derived from SENTiVENT doc dis08 (sentences=26).
dis06_securityvalue_decrease_securityvalue_missing_date,,disney what s worth more than a movie ticket | SecurityValue.Decrease_SecurityValue,Macroeconomics,"($DIS OR DIS OR ""disney what worth"") (down OR drop OR economy OR fall)",en,,,Derived from SENTiVENT doc dis06 (sentences=16).
