event,event_label,event_type,tweet_count,x_sentivent_similarity,x_coherence_tfidf,sentivent_self_similarity,alignment_gap
ba02_securityvalue_increase_securityvalue_missing_date,boeing roundup boeing lands deals with saudi arabia | SecurityValue.Increase_SecurityValue,Deal,2,0.42333517081678773,0.963806692286632,1.0,0.5404715214698442
f15_salesvolume_increase_salesvolume_missing_date,ford is at a crossroad of danger and opportunity in china | SalesVolume.Increase_SalesVolume,Macroeconomics,11,0.17023359214081638,0.8593870243251351,1.0,0.6891534321843188
amd03_securityvalue_decrease_securityvalue_missing_date,amd s stock slumps after ceo pooh poohed speculation of intel l | SecurityValue.Decrease_SecurityValue,Deal,19,0.16725801284259073,0.8172191551491813,1.0,0.6499611423065905
fox02_salesvolume_increase_salesvolume_missing_date,fox msnbc neck and neck in ratings as viewers monitor trump | SalesVolume.Increase_SalesVolume,SalesVolume,25,0.16357438217312376,0.6455182974772576,1.0,0.4819439153041339
abbv08_rating_pricetarget_missing_date,abbvie shares surge 2 on q2 profit revenue beats | Rating.PriceTarget,Revenue,31,0.16280570897529184,0.35650402041088497,1.0,0.19369831143559313
abbv12_rating_pricetarget_missing_date,top biotech stock near buy zone shows positive drug trial resu | Rating.PriceTarget,SecurityValue,4,0.15660074623150386,0.9000862209212579,1.0,0.743485474689754
amd05_securityvalue_increase_securityvalue_missing_date,amd s stock surges on heavy volume as gpu product demand fuels | SecurityValue.Increase_SecurityValue,SecurityValue,16,0.15401709076995407,0.8044148402301327,1.0,0.6503977494601786
f02_salesvolume_increase_salesvolume_missing_date,ford ekes out a sales gain on pickups and fleet deliveries | SalesVolume.Increase_SalesVolume,SalesVolume,8,0.15275102042589006,0.8682561382714643,1.0,0.7155051178455742
abbv07_rating_buyoutperform_missing_date,abbvie has the most valuable late stage pipeline but is its s | Rating.BuyOutperform,Rating,5,0.1504129705460926,0.7349829153344654,1.0,0.5845699447883728
wmt05_financialreport_miss_missing_date,walmart stock nears key support after earnings miss | FinancialReport.Miss,FinancialReport,9,0.14924867114414936,0.727109114520383,1.0,0.5778604433762335
nem02_rating_buyoutperform_missing_date,newmont mining ready to shine | Rating.BuyOutperform,Rating,20,0.14840584381811028,0.6487932085871391,1.0,0.5003873647690288
gs02_securityvalue_increase_securityvalue_missing_date,dow s late afternoon surge into record territory powered by gol | SecurityValue.Increase_SecurityValue,SecurityValue,18,0.14503566395449163,0.8419315123254516,1.0,0.69689584837096
amzn10_securityvalue_increase_securityvalue_missing_date,nokia amazon work signals public cloud telecom takeover says w | SecurityValue.Increase_SecurityValue,Macroeconomics,43,0.14196445263654778,0.6587235398047838,1.0,0.516759087168236
cvx04_securityvalue_increase_securityvalue_missing_date,strong crude oil no help for chevron exxon mobil | SecurityValue.Increase_SecurityValue,FinancialReport,12,0.14047152216644332,0.757373085424823,1.0,0.6169015632583796
amd07_securityvalue_increase_securityvalue_missing_date,amd reveals epyc details intel vows to top it | SecurityValue.Increase_SecurityValue,Macroeconomics,18,0.13671281779774716,0.6168511109855661,1.0,0.480138293187819
goog11_securityvalue_increase_securityvalue_missing_date,earnings preview what to expect from alphabet on thursday | SecurityValue.Increase_SecurityValue,SecurityValue,46,0.1335131948495487,0.6066982705934768,1.0,0.4731850757439281
ba12_securityvalue_increase_securityvalue_missing_date,underappreciated why boeing s astronomical rise might not | SecurityValue.Increase_SecurityValue,SecurityValue,11,0.13075041240021323,0.8091181889097263,1.0,0.6783677765095131
ba05_expense_decrease_expense_missing_date,boeing defense to cut 50 executive jobs in management shakeup | Expense.Decrease_Expense,Employment,14,0.12989820863046306,0.8383936380421869,1.0,0.7084954294117238
ge05_securityvalue_decrease_securityvalue_missing_date,general electric can aviation make it fly | SecurityValue.Decrease_SecurityValue,Employment,17,0.1288210580063367,0.6668919147664814,1.0,0.5380708567601447
aapl13_securityvalue_increase_securityvalue_missing_date,stocks mixed this california builder breaks out what to watc | SecurityValue.Increase_SecurityValue,SecurityValue,7,0.11945216641448865,0.7026593451049454,1.0,0.5832071786904568
fb14_securityvalue_decrease_securityvalue_missing_date,facebook s wary dance with the beltway | SecurityValue.Decrease_SecurityValue,SecurityValue,12,0.1188564209171043,0.5978113879520967,1.0,0.47895496703499235
wfc00_legal_conviction_settlement_missing_date,wells fargo found liable in abusive tax shelter scheme | Legal.Conviction/Settlement,Legal,50,0.11599955794890045,0.833543999593396,1.0,0.7175444416444955
fox00_securityvalue_increase_securityvalue_missing_date,berkshire cuts 21st century fox stake adjusts airline bets | SecurityValue.Increase_SecurityValue,SecurityValue,31,0.11121929640225538,0.7829063680670088,1.0,0.6716870716647534
ba16_securityvalue_decrease_securityvalue_missing_date,boeing s stock contributes about 10 of the dow s 1030 point | SecurityValue.Decrease_SecurityValue,SecurityValue,31,0.11114171290369666,0.7951673121139614,1.0,0.6840255992102647
ba10_securityvalue_increase_securityvalue_missing_date,reduce holdings on boeing and 3 other defense stocks pre earning | SecurityValue.Increase_SecurityValue,Profit/Loss,25,0.10991902280127673,0.694914998065706,1.0,0.5849959752644293
dis02_salesvolume_decrease_salesvolume_missing_date,disney earnings give a look at how espn is facing the future | SalesVolume.Decrease_SalesVolume,Profit/Loss,29,0.10914382220429394,0.7086611829420546,1.0,0.5995173607377606
aal07_securityvalue_increase_securityvalue_missing_date,american airlines stock rallies after second upgrade in two da | SecurityValue.Increase_SecurityValue,SecurityValue,15,0.1077088219423617,0.7846421890421458,1.0,0.6769333670997841
aal00_revenue_increase_revenue_missing_date,american airlines up on record april traffic upbeat q2 view | Revenue.Increase_Revenue,FinancialReport,3,0.10770515617912697,0.6219001130160983,1.0,0.5141949568369713
abbv09_securityvalue_increase_securityvalue_missing_date,abbvie scores 2 wins 1 threatens regeneron | SecurityValue.Increase_SecurityValue,Product/Service,4,0.10759652210859383,0.7841297166760702,1.0,0.6765331945674764
aapl01_securityvalue_increase_securityvalue_missing_date,here are the six dow stocks experts say have the most upside | SecurityValue.Increase_SecurityValue,SecurityValue,13,0.10389715371696814,0.7593892444549611,1.0,0.655492090737993
gm02_salesvolume_increase_salesvolume_missing_date,general motors sales slip on rental fleet cutbacks | SalesVolume.Increase_SalesVolume,SalesVolume,8,0.10369755180402576,0.8596596803341301,1.0,0.7559621285301044
goog02_legal_conviction_settlement_missing_date,google execs hunker down for summer fight with eu as fines loom | Legal.Conviction/Settlement,Legal,49,0.10106952795763474,0.51178316148562,1.0,0.41071363352798523
amd13_rating_sellunderperform_missing_date,advanced micro sell says morgan stanley expectations too h | Rating.SellUnderperform,Rating,6,0.09661919297970392,0.8121915466647106,1.0,0.7155723536850067
abbv05_legal_conviction_settlement_missing_date,abbvie ordered by jury to pay 15 million to depakote victim | Legal.Conviction/Settlement,Legal,25,0.09515368785511616,0.8337676371334268,1.0,0.7386139492783107
aapl07_product_service_cancellation_recall_missing_date,apple leak reveals massive iphone 8 cancellation | Product/Service.Cancellation/Recall,Product/Service,18,0.09450477381941419,0.7997157354541702,1.0,0.7052109616347559
aapl10_dividend_payment_missing_date,apple s rain of cash washes away debt doubts | Dividend.Payment,Dividend,48,0.09433283886589261,0.1970517283160739,1.0,0.10271888945018129
aapl04_securityvalue_decrease_securityvalue_missing_date,three reasons apple s shares took a drubbing | SecurityValue.Decrease_SecurityValue,SecurityValue,45,0.09348004719326806,0.7513350373373948,1.0,0.6578549901441267
cmg03_salesvolume_decrease_salesvolume_missing_date,chipotle removes malware after breach strikes payment systems | SalesVolume.Decrease_SalesVolume,CSR/Brand,50,0.09005540770351209,0.6273367491093444,1.0,0.5372813414058324
cmg04_salesvolume_increase_salesvolume_missing_date,chipotle is betting on digital | SalesVolume.Increase_SalesVolume,SalesVolume,15,0.08933779080801786,0.5635889431740356,1.0,0.4742511523660178
goog03_product_service_cancellation_recall_missing_date,google leak reveals massive pixel 2 cancellation | Product/Service.Cancellation/Recall,Product/Service,50,0.08019471544639295,0.7075727799552842,1.0,0.6273780645088913
abbv10_securityvalue_increase_securityvalue_missing_date,abbvie you re upgrading it now | SecurityValue.Increase_SecurityValue,SecurityValue,4,0.07992931579594381,0.8763835887302758,1.0,0.796454272934332
aapl12_securityvalue_increase_securityvalue_missing_date,apple s stock jumps after keybanc upgrade to buy rating | SecurityValue.Increase_SecurityValue,Rating,49,0.07864203625342164,0.6916661655775864,1.0,0.6130241293241647
amzn01_securityvalue_increase_securityvalue_missing_date,jeff bezos fortune continues to soar as amazon stock reaches n | SecurityValue.Increase_SecurityValue,SecurityValue,50,0.07528409552609108,0.9965298402176284,1.0,0.9212457446915373
ge13_expense_decrease_expense_missing_date,ge is beating some headwinds but is it enough | Expense.Decrease_Expense,Macroeconomics,27,0.06925314726705374,0.6849859257964697,1.0,0.6157327785294159
cost00_salesvolume_increase_salesvolume_missing_date,costco makes gains despite retailer gloom with upbeat earnings | SalesVolume.Increase_SalesVolume,SalesVolume,21,0.06514743553737637,0.7494556273390663,1.0,0.68430819180169
aal03_revenue_increase_revenue_missing_date,american airlines reports load factor increase in may shares g | Revenue.Increase_Revenue,Revenue,17,0.05646615409228471,0.3090164062968115,1.0,0.25255025220452676
ge12_rating_credit_debt_missing_date,ge s credit downgraded at fitch outlook remains negative | Rating.Credit/Debt,Rating,5,0.04939703620628151,0.7334907445914214,1.0,0.6840937083851398
chk01_securityvalue_stable_securityvalue_missing_date,what are the short interest trends in chesapeake energy stock | SecurityValue.Stable_SecurityValue,SecurityValue,3,0.04791101404188686,0.8701979759658635,1.0,0.8222869619239765
dis12_revenue_decrease_revenue_missing_date,disney s fiscal 2017 in review | Revenue.Decrease_Revenue,Revenue,6,0.04669198226404587,0.46455839380472064,1.0,0.4178664115406748
aal01_facility_open_missing_date,900m investment at phl to bring new traffic control tower re | Facility.Open,Facility,50,0.04421694049043643,0.1748010586478238,1.0,0.13058411815738738
dis01_rating_maintain_missing_date,this hedge fund bought 250 million of disney stock should yo | Rating.Maintain,Investment,49,0.043040940257864695,0.22331688091487117,1.0,0.18027594065700647
cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,49,0.036271690899579684,0.1738582173511798,1.0,0.1375865264516001
aal08_product_service_launch_missing_date,airberlin goes bankrupt soon after announcing major chicago expa | Product/Service.Launch,Product/Service,9,0.03605291733041936,0.4233870439474821,1.0,0.38733412661706274
pg00_legal_appeal_missing_date,companies spurned by supreme court on 1 billion michigan tax c | Legal.Appeal,Legal,50,0.03528882947241507,0.17966182461293823,1.0,0.14437299514052315
amzn04_revenue_increase_revenue_missing_date,3 reasons amazon is nt done growing yet | Revenue.Increase_Revenue,Macroeconomics,9,0.03415016577344064,0.43161761963654816,1.0,0.3974674538631075
duk02_investment_missing_date,duke energy doles out 11 m in water resources grants | Investment,Investment,50,0.03373627659750347,0.18831291685626902,1.0,0.15457664025876555
amzn09_product_service_missing_date,amazon and whole foods are dropping prices this will change gr | Product/Service,Product/Service,50,0.033038603799447536,0.19109476475058998,1.0,0.15805616095114244
cvx00_csr_brand_missing_date,chevron investors back off from climate change proposal | CSR/Brand,CSR/Brand,46,0.031978367164664394,0.20117022480146673,1.0,0.16919185763680233
cost01_merger_acquisition_missing_date,costco adds fresh breads from bakery spurned by starbucks | Merger/Acquisition,Merger/Acquisition,50,0.030228743470734575,0.17889114147340446,1.0,0.1486623980026699
t01_macroeconomics_missing_date,att leapfrogs exxon mobil as largest public company in texas | Macroeconomics,Macroeconomics,50,0.026274305181028773,0.1640927033897006,1.0,0.13781839820867184
amd12_product_service_launch_missing_date,2 risks amd investors should nt ignore | Product/Service.Launch,Macroeconomics,43,0.023898053485257673,0.23273234959885758,1.0,0.2088342961135999
wmt04_employment_start_missing_date,here s why the best is yet to come for wal mart stores inc | Employment.Start,Macroeconomics,19,0.023802825586984228,0.26074784049169997,1.0,0.23694501490471573
aal13_employment_start_missing_date,american airlines pilots agree on solution to staff december f | Employment.Start,Employment,50,0.021704214219886733,0.1852884123033946,1.0,0.16358419808350788
amzn07_product_service_launch_missing_date,amazoncom just crushed department store stocks again with prime | Product/Service.Launch,Product/Service,6,0.019953089268128298,0.495367769141527,1.0,0.47541467987339875
aal14_employment_compensation_missing_date,american and pilots settle issues after handshake by airline and | Employment.Compensation,Deal,50,0.01949263018395784,0.17769604792051483,1.0,0.158203417736557
aapl08_legal_proceeding_missing_date,apple vs qualcomm the itc is in it | Legal.Proceeding,Legal,50,0.012398556412555344,0.18976089550831504,1.0,0.17736233909575969
abbv04_product_service_launch_missing_date,is this dividend aristocrat ridiculously undervalued | Product/Service.Launch,Product/Service,4,0.009468430130711993,0.5301332531664658,1.0,0.5206648230357538
jnj02_product_service_launch_missing_date,jj drug prevents heart attacks at cost of amputated toes | Product/Service.Launch,Product/Service,3,0.0037567303346891616,0.6280067674618549,1.0,0.6242500371271658
