event,event_label,event_type,model,source,n_extracted,blame_dominant,causal_dominant,stance_dominant,emotion_dominant,frame_dominant
t01_macroeconomics_missing_date,att leapfrogs exxon mobil as largest public company in texas | Macroeconomics,Macroeconomics,openai_gpt4omini,X,8,no blame,currencies depreciate,not_applicable,neutral,routine_adjustment
amzn09_product_service_missing_date,amazon and whole foods are dropping prices this will change gr | Product/Service,Product/Service,openai_gpt4omini,SENTIVENT,8,no blame,market forces,not_applicable,neutral,opportunity
amzn09_product_service_missing_date,amazon and whole foods are dropping prices this will change gr | Product/Service,Product/Service,anthropic_sonnet,X,8,no blame,not applicable,not_applicable,neutral,routine_adjustment
amzn09_product_service_missing_date,amazon and whole foods are dropping prices this will change gr | Product/Service,Product/Service,anthropic_sonnet,SENTIVENT,8,no blame,strategic acquisition and market disruption,not_applicable,neutral,opportunity
amzn09_product_service_missing_date,amazon and whole foods are dropping prices this will change gr | Product/Service,Product/Service,gemini_flash,X,8,no blame,not applicable,not_applicable,neutral,routine_adjustment
amzn09_product_service_missing_date,amazon and whole foods are dropping prices this will change gr | Product/Service,Product/Service,gemini_flash,SENTIVENT,8,no blame,acquisition strategy and market influence,not_applicable,neutral,opportunity
goog03_product_service_cancellation_recall_missing_date,google leak reveals massive pixel 2 cancellation | Product/Service.Cancellation/Recall,Product/Service,openai_gpt4omini,X,8,no blame,no causal explanation provided,not_applicable,confusion,crisis
goog03_product_service_cancellation_recall_missing_date,google leak reveals massive pixel 2 cancellation | Product/Service.Cancellation/Recall,Product/Service,openai_gpt4omini,SENTIVENT,8,no blame,no causal explanation provided,not_applicable,neutral,routine_adjustment
goog03_product_service_cancellation_recall_missing_date,google leak reveals massive pixel 2 cancellation | Product/Service.Cancellation/Recall,Product/Service,anthropic_sonnet,X,8,Google,product development decision,not_applicable,neutral,institutional_failure
goog03_product_service_cancellation_recall_missing_date,google leak reveals massive pixel 2 cancellation | Product/Service.Cancellation/Recall,Product/Service,anthropic_sonnet,SENTIVENT,8,no blame,not specified,not_applicable,neutral,routine_adjustment
goog03_product_service_cancellation_recall_missing_date,google leak reveals massive pixel 2 cancellation | Product/Service.Cancellation/Recall,Product/Service,gemini_flash,X,8,no blame,no causal explanation,not_applicable,neutral,institutional_failure
goog03_product_service_cancellation_recall_missing_date,google leak reveals massive pixel 2 cancellation | Product/Service.Cancellation/Recall,Product/Service,gemini_flash,SENTIVENT,8,no blame,not specified,not_applicable,neutral,routine_adjustment
amzn01_securityvalue_increase_securityvalue_missing_date,jeff bezos fortune continues to soar as amazon stock reaches n | SecurityValue.Increase_SecurityValue,SecurityValue,openai_gpt4omini,X,8,no blame,speculation,not_applicable,greed,opportunity
amzn01_securityvalue_increase_securityvalue_missing_date,jeff bezos fortune continues to soar as amazon stock reaches n | SecurityValue.Increase_SecurityValue,SecurityValue,openai_gpt4omini,SENTIVENT,8,no blame,speculation,not_applicable,greed,opportunity
amzn01_securityvalue_increase_securityvalue_missing_date,jeff bezos fortune continues to soar as amazon stock reaches n | SecurityValue.Increase_SecurityValue,SecurityValue,anthropic_sonnet,X,8,no blame,amazon stock performance,not_applicable,neutral,routine_adjustment
amzn01_securityvalue_increase_securityvalue_missing_date,jeff bezos fortune continues to soar as amazon stock reaches n | SecurityValue.Increase_SecurityValue,SecurityValue,anthropic_sonnet,SENTIVENT,8,no blame,stock price appreciation,not_applicable,neutral,routine_adjustment
amzn01_securityvalue_increase_securityvalue_missing_date,jeff bezos fortune continues to soar as amazon stock reaches n | SecurityValue.Increase_SecurityValue,SecurityValue,gemini_flash,X,8,no blame,amazon stock performance,not_applicable,neutral,opportunity
amzn01_securityvalue_increase_securityvalue_missing_date,jeff bezos fortune continues to soar as amazon stock reaches n | SecurityValue.Increase_SecurityValue,SecurityValue,gemini_flash,SENTIVENT,8,no blame,not specified,not_applicable,neutral,opportunity
aal13_employment_start_missing_date,american airlines pilots agree on solution to staff december f | Employment.Start,Employment,openai_gpt4omini,X,8,no blame,no causal explanation provided,not_applicable,anger,routine_adjustment
aal13_employment_start_missing_date,american airlines pilots agree on solution to staff december f | Employment.Start,Employment,openai_gpt4omini,SENTIVENT,8,no blame,no causal explanation,not_applicable,relief,routine_adjustment
aal13_employment_start_missing_date,american airlines pilots agree on solution to staff december f | Employment.Start,Employment,anthropic_sonnet,X,8,no blame,not_applicable,not_applicable,neutral,routine_adjustment
aal13_employment_start_missing_date,american airlines pilots agree on solution to staff december f | Employment.Start,Employment,anthropic_sonnet,SENTIVENT,8,no blame,collaborative agreement,not_applicable,relief,routine_adjustment
aal13_employment_start_missing_date,american airlines pilots agree on solution to staff december f | Employment.Start,Employment,gemini_flash,X,8,no blame,Specific personal behaviors and physical characteristics hindering employment opportunities,not_applicable,anger,cautionary_tale
aal13_employment_start_missing_date,american airlines pilots agree on solution to staff december f | Employment.Start,Employment,gemini_flash,SENTIVENT,8,no blame,no causal explanation,not_applicable,relief,routine_adjustment
aal14_employment_compensation_missing_date,american and pilots settle issues after handshake by airline and | Employment.Compensation,Deal,openai_gpt4omini,X,8,no blame,underfunding for special education and student safety,not_applicable,confusion,routine_adjustment
aal14_employment_compensation_missing_date,american and pilots settle issues after handshake by airline and | Employment.Compensation,Deal,openai_gpt4omini,SENTIVENT,8,no blame,no causal explanation,not_applicable,relief,routine_adjustment
aal14_employment_compensation_missing_date,american and pilots settle issues after handshake by airline and | Employment.Compensation,Deal,anthropic_sonnet,X,8,no blame,not_applicable,not_applicable,anger,routine_adjustment
aal14_employment_compensation_missing_date,american and pilots settle issues after handshake by airline and | Employment.Compensation,Deal,anthropic_sonnet,SENTIVENT,8,no blame,negotiation and compromise,not_applicable,neutral,routine_adjustment
aal14_employment_compensation_missing_date,american and pilots settle issues after handshake by airline and | Employment.Compensation,Deal,gemini_flash,X,8,no blame,underfunding for special education and student safety,not_applicable,neutral,policy_failure
aal14_employment_compensation_missing_date,american and pilots settle issues after handshake by airline and | Employment.Compensation,Deal,gemini_flash,SENTIVENT,8,no blame,negotiation and agreement,not_applicable,neutral,routine_adjustment
cost01_merger_acquisition_missing_date,costco adds fresh breads from bakery spurned by starbucks | Merger/Acquisition,Merger/Acquisition,openai_gpt4omini,X,8,no blame,blind sided merger/acquisition event,not_applicable,schadenfreude,opportunity
cost01_merger_acquisition_missing_date,costco adds fresh breads from bakery spurned by starbucks | Merger/Acquisition,Merger/Acquisition,openai_gpt4omini,SENTIVENT,8,no blame,no causal explanation,not_applicable,neutral,routine_adjustment
cost01_merger_acquisition_missing_date,costco adds fresh breads from bakery spurned by starbucks | Merger/Acquisition,Merger/Acquisition,anthropic_sonnet,X,8,no blame,surprise merger/acquisition event,not_applicable,confidence,opportunity
cost01_merger_acquisition_missing_date,costco adds fresh breads from bakery spurned by starbucks | Merger/Acquisition,Merger/Acquisition,anthropic_sonnet,SENTIVENT,8,no blame,not applicable,not_applicable,neutral,routine_adjustment
cost01_merger_acquisition_missing_date,costco adds fresh breads from bakery spurned by starbucks | Merger/Acquisition,Merger/Acquisition,gemini_flash,X,8,no blame,blind sided merger/acquisition event,not_applicable,schadenfreude,vindication
cost01_merger_acquisition_missing_date,costco adds fresh breads from bakery spurned by starbucks | Merger/Acquisition,Merger/Acquisition,gemini_flash,SENTIVENT,8,no blame,not applicable,not_applicable,neutral,routine_adjustment
pg00_legal_appeal_missing_date,companies spurned by supreme court on 1 billion michigan tax c | Legal.Appeal,Legal,openai_gpt4omini,X,8,no blame,misallocation of funds,not_applicable,anger,institutional_failure
pg00_legal_appeal_missing_date,companies spurned by supreme court on 1 billion michigan tax c | Legal.Appeal,Legal,openai_gpt4omini,SENTIVENT,8,no blame,no causal explanation,not_applicable,neutral,routine_adjustment
pg00_legal_appeal_missing_date,companies spurned by supreme court on 1 billion michigan tax c | Legal.Appeal,Legal,anthropic_sonnet,X,8,no blame,not_applicable,not_applicable,anger,institutional_failure
pg00_legal_appeal_missing_date,companies spurned by supreme court on 1 billion michigan tax c | Legal.Appeal,Legal,anthropic_sonnet,SENTIVENT,8,no blame,unclear,not_applicable,neutral,routine_adjustment
pg00_legal_appeal_missing_date,companies spurned by supreme court on 1 billion michigan tax c | Legal.Appeal,Legal,gemini_flash,X,8,CPA,Misallocation of funds (using rider safety pot for a 'BS legal appeal') and a flawed funding model ('problem with CPA’s current funding model'),not_applicable,anger,institutional_failure
pg00_legal_appeal_missing_date,companies spurned by supreme court on 1 billion michigan tax c | Legal.Appeal,Legal,gemini_flash,SENTIVENT,8,Supreme Court,legal decision,not_applicable,neutral,vindication
aal01_facility_open_missing_date,900m investment at phl to bring new traffic control tower re | Facility.Open,Facility,openai_gpt4omini,X,8,no blame,citizens' budget funding,not_applicable,anger,routine_adjustment
aal01_facility_open_missing_date,900m investment at phl to bring new traffic control tower re | Facility.Open,Facility,openai_gpt4omini,SENTIVENT,8,no blame,no causal explanation,not_applicable,confidence,opportunity
aal01_facility_open_missing_date,900m investment at phl to bring new traffic control tower re | Facility.Open,Facility,anthropic_sonnet,X,8,no blame,not_applicable,not_applicable,neutral,routine_adjustment
aal01_facility_open_missing_date,900m investment at phl to bring new traffic control tower re | Facility.Open,Facility,anthropic_sonnet,SENTIVENT,8,no blame,not_applicable,not_applicable,neutral,routine_adjustment
aal01_facility_open_missing_date,900m investment at phl to bring new traffic control tower re | Facility.Open,Facility,gemini_flash,X,8,no blame,citizens' budget funding and participatory voting process,not_applicable,anger,opportunity
aal01_facility_open_missing_date,900m investment at phl to bring new traffic control tower re | Facility.Open,Facility,gemini_flash,SENTIVENT,8,no blame,investment funding infrastructure development,not_applicable,neutral,opportunity
aapl08_legal_proceeding_missing_date,apple vs qualcomm the itc is in it | Legal.Proceeding,Legal,openai_gpt4omini,X,8,no blame,unclear,not_applicable,confusion,institutional_failure
aapl08_legal_proceeding_missing_date,apple vs qualcomm the itc is in it | Legal.Proceeding,Legal,openai_gpt4omini,SENTIVENT,8,no blame,not_applicable,not_applicable,neutral,routine_adjustment
aapl08_legal_proceeding_missing_date,apple vs qualcomm the itc is in it | Legal.Proceeding,Legal,anthropic_sonnet,X,8,no blame,not_applicable,not_applicable,neutral,routine_adjustment
aapl08_legal_proceeding_missing_date,apple vs qualcomm the itc is in it | Legal.Proceeding,Legal,anthropic_sonnet,SENTIVENT,8,no blame,legal complaint filing,not_applicable,neutral,routine_adjustment
aapl08_legal_proceeding_missing_date,apple vs qualcomm the itc is in it | Legal.Proceeding,Legal,gemini_flash,X,8,no blame,no causal explanation,not_applicable,anger,institutional_failure
aapl08_legal_proceeding_missing_date,apple vs qualcomm the itc is in it | Legal.Proceeding,Legal,gemini_flash,SENTIVENT,8,no blame,not applicable,not_applicable,neutral,routine_adjustment
duk02_investment_missing_date,duke energy doles out 11 m in water resources grants | Investment,Investment,openai_gpt4omini,X,8,no blame,speculation,not_applicable,confidence,opportunity
duk02_investment_missing_date,duke energy doles out 11 m in water resources grants | Investment,Investment,openai_gpt4omini,SENTIVENT,8,no blame,no causal explanation,not_applicable,neutral,routine_adjustment
duk02_investment_missing_date,duke energy doles out 11 m in water resources grants | Investment,Investment,anthropic_sonnet,X,8,no blame,not_applicable,not_applicable,confidence,opportunity
duk02_investment_missing_date,duke energy doles out 11 m in water resources grants | Investment,Investment,anthropic_sonnet,SENTIVENT,8,no blame,not applicable,not_applicable,neutral,routine_adjustment
duk02_investment_missing_date,duke energy doles out 11 m in water resources grants | Investment,Investment,gemini_flash,X,8,no blame,community investment,not_applicable,confidence,opportunity
duk02_investment_missing_date,duke energy doles out 11 m in water resources grants | Investment,Investment,gemini_flash,SENTIVENT,8,no blame,not applicable,not_applicable,neutral,opportunity
cmg03_salesvolume_decrease_salesvolume_missing_date,chipotle removes malware after breach strikes payment systems | SalesVolume.Decrease_SalesVolume,CSR/Brand,openai_gpt4omini,X,8,no blame,malware breach,not_applicable,anxiety,crisis
cmg03_salesvolume_decrease_salesvolume_missing_date,chipotle removes malware after breach strikes payment systems | SalesVolume.Decrease_SalesVolume,CSR/Brand,openai_gpt4omini,SENTIVENT,8,no blame,malware breach,not_applicable,anxiety,crisis
cmg03_salesvolume_decrease_salesvolume_missing_date,chipotle removes malware after breach strikes payment systems | SalesVolume.Decrease_SalesVolume,CSR/Brand,anthropic_sonnet,X,8,malware/cybercriminals,cybersecurity breach,not_applicable,neutral,institutional_failure
cmg03_salesvolume_decrease_salesvolume_missing_date,chipotle removes malware after breach strikes payment systems | SalesVolume.Decrease_SalesVolume,CSR/Brand,anthropic_sonnet,SENTIVENT,8,no blame,cyberattack on payment systems,not_applicable,neutral,institutional_failure
cmg03_salesvolume_decrease_salesvolume_missing_date,chipotle removes malware after breach strikes payment systems | SalesVolume.Decrease_SalesVolume,CSR/Brand,gemini_flash,X,8,Malware / Cyber attackers,cyberattack / malware infection,not_applicable,neutral,crisis
cmg03_salesvolume_decrease_salesvolume_missing_date,chipotle removes malware after breach strikes payment systems | SalesVolume.Decrease_SalesVolume,CSR/Brand,gemini_flash,SENTIVENT,8,no blame,cybersecurity breach,not_applicable,neutral,crisis
wfc00_legal_conviction_settlement_missing_date,wells fargo found liable in abusive tax shelter scheme | Legal.Conviction/Settlement,Legal,openai_gpt4omini,X,8,bank management,abusive tax shelter scheme,not_applicable,anger,institutional_failure
wfc00_legal_conviction_settlement_missing_date,wells fargo found liable in abusive tax shelter scheme | Legal.Conviction/Settlement,Legal,openai_gpt4omini,SENTIVENT,8,Wells Fargo,abusive tax shelter scheme,not_applicable,anger,institutional_failure
wfc00_legal_conviction_settlement_missing_date,wells fargo found liable in abusive tax shelter scheme | Legal.Conviction/Settlement,Legal,anthropic_sonnet,X,8,Wells Fargo,abusive tax shelter scheme,not_applicable,neutral,institutional_failure
wfc00_legal_conviction_settlement_missing_date,wells fargo found liable in abusive tax shelter scheme | Legal.Conviction/Settlement,Legal,anthropic_sonnet,SENTIVENT,8,Wells Fargo,abusive tax shelter scheme,not_applicable,neutral,institutional_failure
wfc00_legal_conviction_settlement_missing_date,wells fargo found liable in abusive tax shelter scheme | Legal.Conviction/Settlement,Legal,gemini_flash,X,8,Wells Fargo,engagement in an abusive tax shelter scheme/abusive tax practices,not_applicable,neutral,institutional_failure
wfc00_legal_conviction_settlement_missing_date,wells fargo found liable in abusive tax shelter scheme | Legal.Conviction/Settlement,Legal,gemini_flash,SENTIVENT,8,Wells Fargo,abusive tax shelter scheme,not_applicable,neutral,institutional_failure
dis01_rating_maintain_missing_date,this hedge fund bought 250 million of disney stock should yo | Rating.Maintain,Investment,openai_gpt4omini,X,8,no blame,speculation,not_applicable,confidence,opportunity
dis01_rating_maintain_missing_date,this hedge fund bought 250 million of disney stock should yo | Rating.Maintain,Investment,openai_gpt4omini,SENTIVENT,8,no blame,speculation,not_applicable,confidence,opportunity
dis01_rating_maintain_missing_date,this hedge fund bought 250 million of disney stock should yo | Rating.Maintain,Investment,anthropic_sonnet,X,8,no blame,analyst recommendations and price targets,not_applicable,confidence,routine_adjustment
dis01_rating_maintain_missing_date,this hedge fund bought 250 million of disney stock should yo | Rating.Maintain,Investment,anthropic_sonnet,SENTIVENT,8,no blame,not applicable,not_applicable,neutral,routine_adjustment
dis01_rating_maintain_missing_date,this hedge fund bought 250 million of disney stock should yo | Rating.Maintain,Investment,gemini_flash,X,8,no blame,speculation,not_applicable,confidence,routine_adjustment
dis01_rating_maintain_missing_date,this hedge fund bought 250 million of disney stock should yo | Rating.Maintain,Investment,gemini_flash,SENTIVENT,8,no blame,no causal explanation,not_applicable,neutral,opportunity
cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,openai_gpt4omini,X,8,no blame,no causal explanation,not_applicable,anger,populist_revolt
cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,openai_gpt4omini,SENTIVENT,8,no blame,botched priorities,not_applicable,resignation,routine_adjustment
cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,anthropic_sonnet,X,8,no blame,not_applicable,not_applicable,anger,routine_adjustment
cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,anthropic_sonnet,SENTIVENT,8,no blame,internal operational failures predating external crisis,not_applicable,resignation,institutional_failure
cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,gemini_flash,X,8,no blame,"Lack of fundamental knowledge (e.g., company ownership structures) and failure to gain employment",not_applicable,anger,vindication
cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,gemini_flash,SENTIVENT,8,no blame,poor management/strategy,not_applicable,neutral,institutional_failure
goog02_legal_conviction_settlement_missing_date,google execs hunker down for summer fight with eu as fines loom | Legal.Conviction/Settlement,Legal,openai_gpt4omini,X,8,regulators,fines loom,not_applicable,anxiety,crisis
goog02_legal_conviction_settlement_missing_date,google execs hunker down for summer fight with eu as fines loom | Legal.Conviction/Settlement,Legal,openai_gpt4omini,SENTIVENT,8,regulators,legal penalties,not_applicable,anxiety,cautionary_tale
goog02_legal_conviction_settlement_missing_date,google execs hunker down for summer fight with eu as fines loom | Legal.Conviction/Settlement,Legal,anthropic_sonnet,X,8,EU regulators,regulatory enforcement,not_applicable,anxiety,populist_revolt
goog02_legal_conviction_settlement_missing_date,google execs hunker down for summer fight with eu as fines loom | Legal.Conviction/Settlement,Legal,anthropic_sonnet,SENTIVENT,8,no blame,regulatory enforcement,not_applicable,neutral,routine_adjustment
goog02_legal_conviction_settlement_missing_date,google execs hunker down for summer fight with eu as fines loom | Legal.Conviction/Settlement,Legal,gemini_flash,X,8,Google,protectionism against US companies,not_applicable,anxiety,institutional_failure
goog02_legal_conviction_settlement_missing_date,google execs hunker down for summer fight with eu as fines loom | Legal.Conviction/Settlement,Legal,gemini_flash,SENTIVENT,8,no blame,not specified,not_applicable,anxiety,institutional_failure
aapl12_securityvalue_increase_securityvalue_missing_date,apple s stock jumps after keybanc upgrade to buy rating | SecurityValue.Increase_SecurityValue,Rating,openai_gpt4omini,X,8,no blame,upgrade to buy rating,not_applicable,confidence,opportunity
aapl12_securityvalue_increase_securityvalue_missing_date,apple s stock jumps after keybanc upgrade to buy rating | SecurityValue.Increase_SecurityValue,Rating,openai_gpt4omini,SENTIVENT,8,no blame,speculation,not_applicable,confidence,opportunity
aapl12_securityvalue_increase_securityvalue_missing_date,apple s stock jumps after keybanc upgrade to buy rating | SecurityValue.Increase_SecurityValue,Rating,anthropic_sonnet,X,8,no blame,analyst upgrade,not_applicable,confidence,opportunity
aapl12_securityvalue_increase_securityvalue_missing_date,apple s stock jumps after keybanc upgrade to buy rating | SecurityValue.Increase_SecurityValue,Rating,anthropic_sonnet,SENTIVENT,8,no blame,analyst upgrade,not_applicable,confidence,opportunity
aapl12_securityvalue_increase_securityvalue_missing_date,apple s stock jumps after keybanc upgrade to buy rating | SecurityValue.Increase_SecurityValue,Rating,gemini_flash,X,8,no blame,analyst upgrade,not_applicable,confidence,opportunity
aapl12_securityvalue_increase_securityvalue_missing_date,apple s stock jumps after keybanc upgrade to buy rating | SecurityValue.Increase_SecurityValue,Rating,gemini_flash,SENTIVENT,8,no blame,analyst upgrade; pricing power analysis,not_applicable,confidence,opportunity
aapl10_dividend_payment_missing_date,apple s rain of cash washes away debt doubts | Dividend.Payment,Dividend,openai_gpt4omini,X,8,no blame,not_applicable,not_applicable,confidence,routine_adjustment
aapl10_dividend_payment_missing_date,apple s rain of cash washes away debt doubts | Dividend.Payment,Dividend,openai_gpt4omini,SENTIVENT,8,no blame,not_applicable,not_applicable,neutral,opportunity
aapl10_dividend_payment_missing_date,apple s rain of cash washes away debt doubts | Dividend.Payment,Dividend,anthropic_sonnet,X,8,no blame,not applicable,not_applicable,neutral,routine_adjustment
aapl10_dividend_payment_missing_date,apple s rain of cash washes away debt doubts | Dividend.Payment,Dividend,anthropic_sonnet,SENTIVENT,8,no blame,not specified,not_applicable,neutral,routine_adjustment
aapl10_dividend_payment_missing_date,apple s rain of cash washes away debt doubts | Dividend.Payment,Dividend,gemini_flash,X,8,no blame,not applicable,not_applicable,confusion,routine_adjustment
aapl10_dividend_payment_missing_date,apple s rain of cash washes away debt doubts | Dividend.Payment,Dividend,gemini_flash,SENTIVENT,8,no blame,not specified,not_applicable,confidence,vindication
cvx00_csr_brand_missing_date,chevron investors back off from climate change proposal | CSR/Brand,CSR/Brand,openai_gpt4omini,X,8,no blame,no causal explanation,not_applicable,neutral,routine_adjustment
cvx00_csr_brand_missing_date,chevron investors back off from climate change proposal | CSR/Brand,CSR/Brand,openai_gpt4omini,SENTIVENT,8,no blame,no causal explanation,neutral,neutral,routine_adjustment
cvx00_csr_brand_missing_date,chevron investors back off from climate change proposal | CSR/Brand,CSR/Brand,anthropic_sonnet,X,8,no blame,not applicable,not_applicable,neutral,opportunity
cvx00_csr_brand_missing_date,chevron investors back off from climate change proposal | CSR/Brand,CSR/Brand,anthropic_sonnet,SENTIVENT,8,no blame,not_applicable,not_applicable,neutral,routine_adjustment
cvx00_csr_brand_missing_date,chevron investors back off from climate change proposal | CSR/Brand,CSR/Brand,gemini_flash,X,8,no blame,no causal explanation,not_applicable,confidence,opportunity
cvx00_csr_brand_missing_date,chevron investors back off from climate change proposal | CSR/Brand,CSR/Brand,gemini_flash,SENTIVENT,8,no blame,no causal explanation,not_applicable,neutral,vindication
goog11_securityvalue_increase_securityvalue_missing_date,earnings preview what to expect from alphabet on thursday | SecurityValue.Increase_SecurityValue,SecurityValue,openai_gpt4omini,X,8,no blame,no causal explanation,not_applicable,neutral,routine_adjustment
goog11_securityvalue_increase_securityvalue_missing_date,earnings preview what to expect from alphabet on thursday | SecurityValue.Increase_SecurityValue,SecurityValue,openai_gpt4omini,SENTIVENT,7,no blame,speculation,not_applicable,neutral,routine_adjustment
goog11_securityvalue_increase_securityvalue_missing_date,earnings preview what to expect from alphabet on thursday | SecurityValue.Increase_SecurityValue,SecurityValue,anthropic_sonnet,X,8,no blame,not applicable,not_applicable,neutral,routine_adjustment
goog11_securityvalue_increase_securityvalue_missing_date,earnings preview what to expect from alphabet on thursday | SecurityValue.Increase_SecurityValue,SecurityValue,anthropic_sonnet,SENTIVENT,7,no blame,not applicable,not_applicable,neutral,routine_adjustment
goog11_securityvalue_increase_securityvalue_missing_date,earnings preview what to expect from alphabet on thursday | SecurityValue.Increase_SecurityValue,SecurityValue,gemini_flash,X,8,no blame,no causal explanation,not_applicable,neutral,routine_adjustment
goog11_securityvalue_increase_securityvalue_missing_date,earnings preview what to expect from alphabet on thursday | SecurityValue.Increase_SecurityValue,SecurityValue,gemini_flash,SENTIVENT,7,no blame,no causal mechanism,not_applicable,neutral,routine_adjustment
aapl04_securityvalue_decrease_securityvalue_missing_date,three reasons apple s shares took a drubbing | SecurityValue.Decrease_SecurityValue,SecurityValue,openai_gpt4omini,X,8,market forces,speculation,not_applicable,anxiety,market_correction
aapl04_securityvalue_decrease_securityvalue_missing_date,three reasons apple s shares took a drubbing | SecurityValue.Decrease_SecurityValue,SecurityValue,openai_gpt4omini,SENTIVENT,8,no blame,general sell-off of tech stocks,not_applicable,anxiety,market_correction
aapl04_securityvalue_decrease_securityvalue_missing_date,three reasons apple s shares took a drubbing | SecurityValue.Decrease_SecurityValue,SecurityValue,anthropic_sonnet,X,8,no blame,unclear,not_applicable,neutral,routine_adjustment
aapl04_securityvalue_decrease_securityvalue_missing_date,three reasons apple s shares took a drubbing | SecurityValue.Decrease_SecurityValue,SecurityValue,anthropic_sonnet,SENTIVENT,8,no blame,general tech stock sell-off,not_applicable,neutral,routine_adjustment
aapl04_securityvalue_decrease_securityvalue_missing_date,three reasons apple s shares took a drubbing | SecurityValue.Decrease_SecurityValue,SecurityValue,gemini_flash,X,8,no blame,unspecified,not_applicable,anxiety,market_correction
aapl04_securityvalue_decrease_securityvalue_missing_date,three reasons apple s shares took a drubbing | SecurityValue.Decrease_SecurityValue,SecurityValue,gemini_flash,SENTIVENT,8,no blame,general sell-off of tech stocks,not_applicable,neutral,market_correction
amzn10_securityvalue_increase_securityvalue_missing_date,nokia amazon work signals public cloud telecom takeover says w | SecurityValue.Increase_SecurityValue,Macroeconomics,openai_gpt4omini,X,8,no blame,speculation,not_applicable,confidence,opportunity
amzn10_securityvalue_increase_securityvalue_missing_date,nokia amazon work signals public cloud telecom takeover says w | SecurityValue.Increase_SecurityValue,Macroeconomics,openai_gpt4omini,SENTIVENT,8,no blame,strategic collaboration,not_applicable,confidence,opportunity
amzn10_securityvalue_increase_securityvalue_missing_date,nokia amazon work signals public cloud telecom takeover says w | SecurityValue.Increase_SecurityValue,Macroeconomics,anthropic_sonnet,X,8,no blame,strategic partnership and market evolution,not_applicable,neutral,opportunity
amzn10_securityvalue_increase_securityvalue_missing_date,nokia amazon work signals public cloud telecom takeover says w | SecurityValue.Increase_SecurityValue,Macroeconomics,anthropic_sonnet,SENTIVENT,8,no blame,strategic business collaboration,not_applicable,neutral,opportunity
