event,event_label,event_date,status,selected_source,selected_title,selected_url,selected_ranking_score,candidate_count,search_endpoint,query_used,unique_threads
amd12_product_service_launch_missing_date,2 risks amd investors should nt ignore | Product/Service.Launch,,collected,x,,,,43,search/all,"""2 risks amd investors should nt ignore"" OR ""Product/Service.Launch"" -is:retweet lang:en",43
amd02_profit_loss_increase_profit_loss_missing_date,amd s financial analyst day 2017 on the cusp of greatness aga | Profit/Loss.Increase_Profit/Loss,,no_results,x,,,,0,search/all,"""amd s financial analyst day 2017 on the"" OR ""Profit/Loss.Increase Profit/Loss"" -is:retweet lang:en",0
amd03_securityvalue_decrease_securityvalue_missing_date,amd s stock slumps after ceo pooh poohed speculation of intel l | SecurityValue.Decrease_SecurityValue,,collected,x,,,,19,search/all,"""amd s stock slumps after ceo pooh poohed"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",19
amd05_securityvalue_increase_securityvalue_missing_date,amd s stock surges on heavy volume as gpu product demand fuels | SecurityValue.Increase_SecurityValue,,collected,x,,,,16,search/all,"""amd s stock surges on heavy volume as"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",16
amd06_securityvalue_decrease_securityvalue_missing_date,amd s stock tumbles bringing win streak to an abrupt end | SecurityValue.Decrease_SecurityValue,,collected,x,,,,19,search/all,"""amd s stock tumbles bringing win streak to"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",19
aal04_product_service_cancellation_recall_missing_date,american airlines backtracks lrb a bit rrb on its legroom re | Product/Service.Cancellation/Recall,,no_results,x,,,,0,search/all,"""american airlines backtracks lrb a bit rrb on"" OR ""Product/Service.Cancellation/Recall"" -is:retweet lang:en",0
aal09_product_service_launch_missing_date,american airlines flight attendants blast pittsburgh airport pla | Product/Service.Launch,,collected,x,,,,50,search/all,"""american airlines flight attendants blast pittsburgh airport pla"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
aal10_profit_loss_decrease_profit_loss_missing_date,american airlines marks down third quarter guidance | Profit/Loss.Decrease_Profit/Loss,,no_results,x,,,,0,search/all,"""american airlines marks down third quarter guidance"" OR ""Profit/Loss.Decrease Profit/Loss"" -is:retweet lang:en",0
aal06_facility_open_missing_date,american airlines name affixed to a new wrigley field conferen | Facility.Open,,collected,x,,,,50,search/all,"""american airlines name affixed to a new wrigley"" OR ""Facility.Open"" -is:retweet lang:en",50
aal13_employment_start_missing_date,american airlines pilots agree on solution to staff december f | Employment.Start,,collected,x,,,,50,search/all,"""american airlines pilots agree on solution to staff"" OR ""Employment.Start"" -is:retweet lang:en",50
aal03_revenue_increase_revenue_missing_date,american airlines reports load factor increase in may shares g | Revenue.Increase_Revenue,,collected,x,,,,26,search/all,"""american airlines reports load factor increase in may"" OR ""Revenue.Increase Revenue"" -is:retweet lang:en",26
aal07_securityvalue_increase_securityvalue_missing_date,american airlines stock rallies after second upgrade in two da | SecurityValue.Increase_SecurityValue,,collected,x,,,,15,search/all,"""american airlines stock rallies after second upgrade in"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",15
aal00_revenue_increase_revenue_missing_date,american airlines up on record april traffic upbeat q2 view | Revenue.Increase_Revenue,,collected,x,,,,29,search/all,"""american airlines up on record april traffic upbeat"" OR ""Revenue.Increase Revenue"" -is:retweet lang:en",29
aal14_employment_compensation_missing_date,american and pilots settle issues after handshake by airline and | Employment.Compensation,,collected,x,,,,50,search/all,"""american and pilots settle issues after handshake by"" OR ""Employment.Compensation"" -is:retweet lang:en",48
nem04_rating_pricetarget_missing_date,analyst insight is newmont mining warming up for a good 2018 | Rating.PriceTarget,,collected,x,,,,21,search/all,"""analyst insight is newmont mining warming up for"" OR ""Rating.PriceTarget"" -is:retweet lang:en",21
aapl06_product_service_launch_missing_date,apple aims to get an ipad in the hands of every hospital patient | Product/Service.Launch,,collected,x,,,,50,search/all,"""apple aims to get an ipad in the"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
aapl02_product_service_launch_missing_date,apple is following google into making a custom ai chip | Product/Service.Launch,,collected,x,,,,45,search/all,"""apple is following google into making a custom"" OR ""Product/Service.Launch"" -is:retweet lang:en",45
aapl07_product_service_cancellation_recall_missing_date,apple leak reveals massive iphone 8 cancellation | Product/Service.Cancellation/Recall,,collected,x,,,,18,search/all,"""apple leak reveals massive iphone 8 cancellation"" OR ""Product/Service.Cancellation/Recall"" -is:retweet lang:en",18
aapl16_revenue_increase_revenue_missing_date,apple s app store generated over 11 billion in revenue for th | Revenue.Increase_Revenue,,collected,x,,,,26,search/all,"""apple s app store generated over 11 billion"" OR ""Revenue.Increase Revenue"" -is:retweet lang:en",26
aapl10_dividend_payment_missing_date,apple s rain of cash washes away debt doubts | Dividend.Payment,,collected,x,,,,50,search/all,"""apple s rain of cash washes away debt"" OR ""Dividend.Payment"" -is:retweet lang:en",48
aapl12_securityvalue_increase_securityvalue_missing_date,apple s stock jumps after keybanc upgrade to buy rating | SecurityValue.Increase_SecurityValue,,collected,x,,,,49,search/all,"""apple s stock jumps after keybanc upgrade to"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",49
aapl00_rating_pricetarget_missing_date,apple s stock price target gets a boost on increased iphone sal | Rating.PriceTarget,,no_results,x,,,,0,search/all,"""apple s stock price target gets a boost"" OR ""Rating.PriceTarget"" -is:retweet lang:en",0
aapl08_legal_proceeding_missing_date,apple vs qualcomm the itc is in it | Legal.Proceeding,,collected,x,,,,50,search/all,"""apple vs qualcomm the itc is in it"" OR ""Legal.Proceeding"" -is:retweet lang:en",46
nem00_financialreport_beat_missing_date,are gold miners on track to achieve 2017 production guidance | FinancialReport.Beat,,no_results,x,,,,0,search/all,"""are gold miners on track to achieve 2017"" OR ""FinancialReport.Beat"" -is:retweet lang:en",0
t04_product_service_launch_missing_date,as states test waters att hopes to catch all with firstnet fi | Product/Service.Launch,,collected,x,,,,45,search/all,"""as states test waters att hopes to catch"" OR ""Product/Service.Launch"" -is:retweet lang:en",45
ba07_rating_buyoutperform_missing_date,at more than 200 a share is boeing still a buy 1 analyst t | Rating.BuyOutperform,,no_results,x,,,,0,search/all,"""at more than 200 a share is boeing"" OR ""Rating.BuyOutperform"" -is:retweet lang:en",0
t03_merger_acquisition_missing_date,att acquisition of time warner will not be blocked by trump c | Merger/Acquisition,,no_results,x,,,,0,search/all,"""att acquisition of time warner will not be"" OR ""Merger/Acquisition"" -is:retweet lang:en",0
t13_legal_proceeding_missing_date,att and time warner would expletive deleted competitors s | Legal.Proceeding,,collected,x,,,,50,search/all,"""att and time warner would expletive deleted competitors"" OR ""Legal.Proceeding"" -is:retweet lang:en",46
t06_product_service_launch_missing_date,att inc is running out of room to grow what s next | Product/Service.Launch,,collected,x,,,,50,search/all,"""att inc is running out of room to"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
t01_macroeconomics_missing_date,att leapfrogs exxon mobil as largest public company in texas | Macroeconomics,,collected,x,,,,50,search/all,"""att leapfrogs exxon mobil as largest public company"" OR ""Macroeconomics"" -is:retweet lang:en",48
t02_salesvolume_decrease_salesvolume_missing_date,att s directv now went flat after january report says | SalesVolume.Decrease_SalesVolume,,no_results,x,,,,0,search/all,"""att s directv now went flat after january"" OR ""SalesVolume.Decrease SalesVolume"" -is:retweet lang:en",0
t14_employment_compensation_missing_date,att s tax cut bonus is nt just a gimmick | Employment.Compensation,,collected,x,,,,50,search/all,"""att s tax cut bonus is nt just"" OR ""Employment.Compensation"" -is:retweet lang:en",48
bac04_expense_decrease_expense_missing_date,bank of america earnings hurt by tax related charge | Expense.Decrease_Expense,,no_results,x,,,,0,search/all,"""bank of america earnings hurt by tax related"" OR ""Expense.Decrease Expense"" -is:retweet lang:en",0
bac06_employment_start_missing_date,bank of america hires law firm to help probe 292 million loss | Employment.Start,,collected,x,,,,50,search/all,"""bank of america hires law firm to help"" OR ""Employment.Start"" -is:retweet lang:en",50
bac03_product_service_launch_missing_date,bank of america s latest mobile feature a tool to buy a car | Product/Service.Launch,,collected,x,,,,39,search/all,"""bank of america s latest mobile feature a"" OR ""Product/Service.Launch"" -is:retweet lang:en",39
bac02_financialreport_beat_missing_date,bank of america still lags us banking peers in terms of core c | FinancialReport.Beat,,collected,x,,,,1,search/all,"""bank of america still lags us banking peers"" OR ""FinancialReport.Beat"" -is:retweet lang:en",1
bac00_product_service_launch_missing_date,bank of america wants to make it easier for you to get a mortgag | Product/Service.Launch,,collected,x,,,,17,search/all,"""bank of america wants to make it easier"" OR ""Product/Service.Launch"" -is:retweet lang:en",17
fox00_securityvalue_increase_securityvalue_missing_date,berkshire cuts 21st century fox stake adjusts airline bets | SecurityValue.Increase_SecurityValue,,collected,x,,,,31,search/all,"""berkshire cuts 21st century fox stake adjusts airline"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",31
ba09_securityvalue_increase_securityvalue_missing_date,boeing 787 production increase is good news for aerospace but | SecurityValue.Increase_SecurityValue,,no_results,x,,,,0,search/all,"""boeing 787 production increase is good news for"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",0
ba13_securityvalue_increase_securityvalue_missing_date,boeing applauds tax bill with 300 million workforce related an | SecurityValue.Increase_SecurityValue,,collected,x,,,,50,search/all,"""boeing applauds tax bill with 300 million workforce"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",50
ba05_expense_decrease_expense_missing_date,boeing defense to cut 50 executive jobs in management shakeup | Expense.Decrease_Expense,,collected,x,,,,14,search/all,"""boeing defense to cut 50 executive jobs in"" OR ""Expense.Decrease Expense"" -is:retweet lang:en",14
ba00_product_service_launch_missing_date,boeing delivers its first 737 max just as planned | Product/Service.Launch,,collected,x,,,,50,search/all,"""boeing delivers its first 737 max just as"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
ba02_securityvalue_increase_securityvalue_missing_date,boeing roundup boeing lands deals with saudi arabia | SecurityValue.Increase_SecurityValue,,collected,x,,,,2,search/all,"""boeing roundup boeing lands deals with saudi arabia"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",2
ba14_securityvalue_increase_securityvalue_missing_date,boeing s low altitude bid | SecurityValue.Increase_SecurityValue,,no_results,x,,,,0,search/all,"""boeing s low altitude bid"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",0
ba16_securityvalue_decrease_securityvalue_missing_date,boeing s stock contributes about 10 of the dow s 1030 point | SecurityValue.Decrease_SecurityValue,,collected,x,,,,31,search/all,"""boeing s stock contributes about 10 of the"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",31
ba08_securityvalue_increase_securityvalue_missing_date,boeing s stock may have flown too high | SecurityValue.Increase_SecurityValue,,no_results,x,,,,0,search/all,"""boeing s stock may have flown too high"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",0
ba01_employment_start_missing_date,boeing s t x could be good news for struggling st louis econom | Employment.Start,,collected,x,,,,50,search/all,"""boeing s t x could be good news"" OR ""Employment.Start"" -is:retweet lang:en",50
ba03_product_service_launch_missing_date,boeing wins contract to build darpa xs 1 experimental space plan | Product/Service.Launch,,collected,x,,,,50,search/all,"""boeing wins contract to build darpa xs 1"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
bac05_product_service_launch_missing_date,bofa includes bitcoin trust in broader ban on investments | Product/Service.Launch,,collected,x,,,,50,search/all,"""bofa includes bitcoin trust in broader ban on"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
celg02_product_service_launch_missing_date,celgene s stock may be incredibly overvalued right now here | Product/Service.Launch,,collected,x,,,,50,search/all,"""celgene s stock may be incredibly overvalued right"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
chk03_securityvalue_increase_securityvalue_missing_date,chesapeake energy was the sp 500 s top gainer on june 13 | SecurityValue.Increase_SecurityValue,,no_results,x,,,,0,search/all,"""chesapeake energy was the sp 500 s top"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",0
cvx00_csr_brand_missing_date,chevron investors back off from climate change proposal | CSR/Brand,,collected,x,,,,46,search/all,"""chevron investors back off from climate change proposal"" OR ""CSR/Brand"" -is:retweet lang:en",46
cvx05_financialreport_beat_missing_date,chevron s 10 k puts the permian on a pedestal | FinancialReport.Beat,,no_results,x,,,,0,search/all,"""chevron s 10 k puts the permian on"" OR ""FinancialReport.Beat"" -is:retweet lang:en",0
cvx06_financialreport_beat_missing_date,chevron s debt fell in 4q17 what to expect in 2018 | FinancialReport.Beat,,no_results,x,,,,0,search/all,"""chevron s debt fell in 4q17 what to"" OR ""FinancialReport.Beat"" -is:retweet lang:en",0
cvx02_facility_open_missing_date,chevron s management looks like it s changing its capital spen | Facility.Open,,collected,x,,,,50,search/all,"""chevron s management looks like it s changing"" OR ""Facility.Open"" -is:retweet lang:en",50
cvx03_legal_proceeding_missing_date,chevron shielded from 9 billion verdict | Legal.Proceeding,,collected,x,,,,50,search/all,"""chevron shielded from 9 billion verdict"" OR ""Legal.Proceeding"" -is:retweet lang:en",46
cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,,collected,x,,,,50,search/all,"""chipotle cfo says we were losing our edge"" OR ""Employment.End"" -is:retweet lang:en",50
cmg04_salesvolume_increase_salesvolume_missing_date,chipotle is betting on digital | SalesVolume.Increase_SalesVolume,,collected,x,,,,15,search/all,"""chipotle is betting on digital"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",15
cmg01_employment_start_missing_date,chipotle names scott boatwright chief restaurant officer | Employment.Start,,collected,x,,,,50,search/all,"""chipotle names scott boatwright chief restaurant officer"" OR ""Employment.Start"" -is:retweet lang:en",50
cmg03_salesvolume_decrease_salesvolume_missing_date,chipotle removes malware after breach strikes payment systems | SalesVolume.Decrease_SalesVolume,,collected,x,,,,50,search/all,"""chipotle removes malware after breach strikes payment systems"" OR ""SalesVolume.Decrease SalesVolume"" -is:retweet lang:en",50
pg00_legal_appeal_missing_date,companies spurned by supreme court on 1 billion michigan tax c | Legal.Appeal,,collected,x,,,,50,search/all,"""companies spurned by supreme court on 1 billion"" OR ""Legal.Appeal"" -is:retweet lang:en",46
cost01_merger_acquisition_missing_date,costco adds fresh breads from bakery spurned by starbucks | Merger/Acquisition,,collected,x,,,,50,search/all,"""costco adds fresh breads from bakery spurned by"" OR ""Merger/Acquisition"" -is:retweet lang:en",49
cost03_facility_open_missing_date,costco exceeds expectations in sales and earnings will open 1 | Facility.Open,,collected,x,,,,50,search/all,"""costco exceeds expectations in sales and earnings will"" OR ""Facility.Open"" -is:retweet lang:en",50
cost00_salesvolume_increase_salesvolume_missing_date,costco makes gains despite retailer gloom with upbeat earnings | SalesVolume.Increase_SalesVolume,,collected,x,,,,21,search/all,"""costco makes gains despite retailer gloom with upbeat"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",21
cost02_revenue_increase_revenue_missing_date,costco not all beats are created equal | Revenue.Increase_Revenue,,collected,x,,,,26,search/all,"""costco not all beats are created equal"" OR ""Revenue.Increase Revenue"" -is:retweet lang:en",26
aal02_product_service_cancellation_recall_missing_date,delta air lines finds competition intense in may on time arrival | Product/Service.Cancellation/Recall,,no_results,x,,,,0,search/all,"""delta air lines finds competition intense in may"" OR ""Product/Service.Cancellation/Recall"" -is:retweet lang:en",0
f07_product_service_launch_missing_date,dhl and ford unveil a jointly made electric delivery van | Product/Service.Launch,,collected,x,,,,50,search/all,"""dhl and ford unveil a jointly made electric"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
aapl05_product_service_launch_missing_date,did apple just make best buy a better buy | Product/Service.Launch,,collected,x,,,,30,search/all,"""did apple just make best buy a better"" OR ""Product/Service.Launch"" -is:retweet lang:en",30
aapl11_product_service_launch_missing_date,disappointing new iphones reveal a scared and greedy apple | Product/Service.Launch,,collected,x,,,,45,search/all,"""disappointing new iphones reveal a scared and greedy"" OR ""Product/Service.Launch"" -is:retweet lang:en",45
dis11_product_service_launch_missing_date,disney earnings buying fox would nt a bad idea | Product/Service.Launch,,collected,x,,,,50,search/all,"""disney earnings buying fox would nt a bad"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
dis02_salesvolume_decrease_salesvolume_missing_date,disney earnings give a look at how espn is facing the future | SalesVolume.Decrease_SalesVolume,,collected,x,,,,29,search/all,"""disney earnings give a look at how espn"" OR ""SalesVolume.Decrease SalesVolume"" -is:retweet lang:en",29
dis09_employment_start_missing_date,disney elects gm ceo barra to board amid iger succession hunt | Employment.Start,,collected,x,,,,50,search/all,"""disney elects gm ceo barra to board amid"" OR ""Employment.Start"" -is:retweet lang:en",50
dis07_product_service_launch_missing_date,disney joins ar fray with 200 star wars ar headset | Product/Service.Launch,,collected,x,,,,50,search/all,"""disney joins ar fray with 200 star wars"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
dis12_revenue_decrease_revenue_missing_date,disney s fiscal 2017 in review | Revenue.Decrease_Revenue,,collected,x,,,,6,search/all,"""disney s fiscal 2017 in review"" OR ""Revenue.Decrease Revenue"" -is:retweet lang:en",6
dis04_salesvolume_decrease_salesvolume_missing_date,disney s global theme parks saw attendance decline in 2016 bu | SalesVolume.Decrease_SalesVolume,,collected,x,,,,18,search/all,"""disney s global theme parks saw attendance decline"" OR ""SalesVolume.Decrease SalesVolume"" -is:retweet lang:en",18
dis08_revenue_decrease_revenue_missing_date,disney stock defies ho hum earnings | Revenue.Decrease_Revenue,,collected,x,,,,6,search/all,"""disney stock defies ho hum earnings"" OR ""Revenue.Decrease Revenue"" -is:retweet lang:en",6
dis06_securityvalue_decrease_securityvalue_missing_date,disney what s worth more than a movie ticket | SecurityValue.Decrease_SecurityValue,,no_results,x,,,,0,search/all,"""disney what s worth more than a movie"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",0
dis03_product_service_launch_missing_date,disney world and universal orlando go through growing pains | Product/Service.Launch,,collected,x,,,,50,search/all,"""disney world and universal orlando go through growing"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
dis00_facility_open_missing_date,disney world s big transformation is 10 days away | Facility.Open,,collected,x,,,,50,search/all,"""disney world s big transformation is 10 days"" OR ""Facility.Open"" -is:retweet lang:en",50
gs02_securityvalue_increase_securityvalue_missing_date,dow s late afternoon surge into record territory powered by gol | SecurityValue.Increase_SecurityValue,,collected,x,,,,18,search/all,"""dow s late afternoon surge into record territory"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",18
duk02_investment_missing_date,duke energy doles out 11 m in water resources grants | Investment,,collected,x,,,,50,search/all,"""duke energy doles out 11 m in water"" OR ""Investment"" -is:retweet lang:en",49
duk05_product_service_cancellation_recall_missing_date,duke energy says some customers may be affected by data breach | Product/Service.Cancellation/Recall,,no_results,x,,,,0,search/all,"""duke energy says some customers may be affected"" OR ""Product/Service.Cancellation/Recall"" -is:retweet lang:en",0
duk07_securityvalue_decrease_securityvalue_missing_date,duke energy stock is at its most oversold level in 5 years | SecurityValue.Decrease_SecurityValue,,no_results,x,,,,0,search/all,"""duke energy stock is at its most oversold"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",0
duk03_csr_brand_missing_date,duke posts full qa from controversial online only shareholder m | CSR/Brand,,collected,x,,,,34,search/all,"""duke posts full qa from controversial online only"" OR ""CSR/Brand"" -is:retweet lang:en",34
goog11_securityvalue_increase_securityvalue_missing_date,earnings preview what to expect from alphabet on thursday | SecurityValue.Increase_SecurityValue,,collected,x,,,,46,search/all,"""earnings preview what to expect from alphabet on"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",46
